company,vehicle_type,factor_circumvented,factor_name,geography_factor,geography_type,geography_factor_id,latitude,longitude,county_fips,tract_fips,block_group_fips,zip,place_name_fips,rate_bi,rate_pd_lpd_ppi,rate_comp,rate_coll,rate_loan,rate_me_wl_acr,rate_um_uim,rate_rent,rate_tow,rate_acpe,rate_comp_trlr,rate_coll_trlr
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,30,,,,,,,30,70,31,507,293,48,433,16,18,3,15,153,41
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,31,,,,,,,31,85,55,74,513,7,1020,39,32,6,2,22,72
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,32,,,,,,,32,86,56,131,423,12,883,34,26,5,3,39,59
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,33,,,,,,,33,85,54,115,474,11,654,25,30,5,3,35,67
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,34,,,,,,,34,86,35,91,418,8,753,29,26,5,2,27,59
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,35,,,,,,,35,59,31,122,215,11,517,20,13,2,3,37,30
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,36,,,,,,,36,49,25,136,435,13,593,23,27,5,4,41,61
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,37,,,,,,,37,55,39,296,310,28,609,23,19,3,8,89,43
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,38,,,,,,,38,89,30,148,453,14,746,28,28,5,4,44,64
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,39,,,,,,,39,58,30,139,453,13,487,18,28,5,4,42,64
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,40,,,,,,,40,68,32,129,315,12,525,20,19,3,3,39,44
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,41,,,,,,,41,68,30,117,444,11,517,20,28,5,3,35,62
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,42,,,,,,,42,59,38,211,353,20,540,20,22,4,6,63,50
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,43,,,,,,,43,75,44,161,401,15,472,18,25,5,4,48,56
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,44,,,,,,,44,91,34,352,302,33,631,24,19,3,10,106,42
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,45,,,,,,,45,85,35,110,384,10,1081,41,24,4,3,33,54
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,46,,,,,,,46,85,34,86,474,8,1241,48,30,5,2,26,67
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,47,,,,,,,47,79,39,194,500,18,563,21,31,6,5,58,70
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,48,,,,,,,48,63,31,287,366,27,730,28,23,4,8,87,51
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,49,,,,,,,49,69,42,194,388,18,510,19,24,4,5,58,54
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,50,,,,,,,50,89,68,78,440,7,944,36,27,5,2,23,62
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,51,,,,,,,51,89,35,100,410,9,601,23,26,5,3,30,57
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,52,,,,,,,52,57,32,240,336,22,449,17,21,4,7,72,47
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,53,,,,,,,53,60,30,194,444,18,540,20,28,5,5,58,62
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,54,,,,,,,54,50,34,284,306,27,593,23,19,3,8,85,43
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,55,,,,,,,55,72,33,335,353,32,532,20,22,4,10,101,50
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,56,,,,,,,56,75,31,125,401,12,799,30,25,5,3,38,56
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,57,,,,,,,57,77,31,112,397,10,654,25,25,4,3,33,56
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,58,,,,,,,58,82,36,263,349,25,692,26,22,4,8,79,49
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,59,,,,,,,59,59,30,330,358,31,525,20,22,4,10,99,50
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,60,,,,,,,60,52,41,112,366,10,289,11,23,4,3,33,51
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,61,,,,,,,61,85,34,224,353,21,791,30,22,4,6,67,50
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,62,,,,,,,62,71,31,212,371,20,837,32,23,4,6,64,52
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,63,,,,,,,63,72,37,726,263,69,411,15,16,3,22,219,37
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,64,,,,,,,64,61,28,348,315,33,487,18,19,3,10,105,44
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,65,,,,,,,65,69,32,456,405,43,472,18,25,5,13,137,57
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,66,,,,,,,66,91,30,95,500,9,997,38,31,6,2,28,70
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,67,,,,,,,67,93,29,73,561,6,1210,46,35,7,2,22,79
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,68,,,,,,,68,96,36,209,388,20,647,25,24,4,6,63,54
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,69,,,,,,,69,63,33,229,423,21,433,16,26,5,6,69,59
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,70,,,,,,,70,78,34,108,427,10,723,28,27,5,3,32,60
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,71,,,,,,,71,78,42,292,306,27,411,15,19,3,8,88,43
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,72,,,,,,,72,86,34,165,375,15,609,23,23,4,5,49,53
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,73,,,,,,,73,107,40,195,345,18,784,30,21,4,5,59,48
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,74,,,,,,,74,95,29,146,427,13,860,33,27,5,4,44,60
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,75,,,,,,,75,82,45,85,405,8,875,33,25,5,2,25,57
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,76,,,,,,,76,66,34,250,332,23,418,16,21,4,7,75,46
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,77,,,,,,,77,52,37,544,431,52,433,16,27,5,16,164,61
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,78,,,,,,,78,89,38,170,405,16,1043,40,25,5,5,51,57
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,79,,,,,,,79,81,31,377,410,36,647,25,26,5,11,114,57
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,80,,,,,,,80,55,33,125,561,12,403,15,35,7,3,38,79
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,81,,,,,,,81,69,31,131,379,12,639,24,24,4,3,39,53
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,82,,,,,,,82,102,34,202,543,19,1659,64,34,6,6,61,76
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,83,,,,,,,83,123,46,383,703,36,2215,85,44,8,11,115,99
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,84,,,,,,,84,66,30,132,332,12,898,34,21,4,4,40,46
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,85,,,,,,,85,52,27,212,341,20,647,25,21,4,6,64,48
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,86,,,,,,,86,80,30,80,457,7,784,30,29,5,2,24,64
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,87,,,,,,,87,62,32,391,310,37,746,28,19,3,11,118,43
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,88,,,,,,,88,76,57,125,332,12,472,18,21,4,3,38,46
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,89,,,,,,,89,63,27,219,297,20,586,22,18,3,6,66,42
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,90,,,,,,,90,52,28,296,306,28,380,14,19,3,8,89,43
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,91,,,,,,,91,99,34,296,587,28,1164,45,37,7,8,89,82
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,92,,,,,,,92,63,42,229,315,21,395,15,19,3,6,69,44
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,93,,,,,,,93,65,30,274,332,26,517,20,21,4,8,82,46
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,94,,,,,,,94,101,43,277,530,26,1393,53,33,6,8,83,75
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,95,,,,,,,95,74,80,188,358,18,715,27,22,4,5,57,50
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,96,,,,,,,96,106,35,103,401,9,677,26,25,5,3,31,56
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,97,,,,,,,97,71,32,98,392,9,799,30,24,4,2,29,55
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,98,,,,,,,98,74,32,183,535,17,1043,40,33,6,5,55,75
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,99,,,,,,,99,59,33,583,293,55,571,22,18,3,17,176,41
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,100,,,,,,,100,82,36,117,440,11,936,36,27,5,3,35,62
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,101,,,,,,,101,57,31,285,345,27,677,26,21,4,8,86,48
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,102,,,,,,,102,90,33,161,366,15,1088,42,23,4,4,48,51
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,103,,,,,,,103,85,36,114,535,10,746,28,33,6,3,34,75
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,104,,,,,,,104,86,49,68,487,6,639,24,30,6,2,20,68
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,105,,,,,,,105,51,43,197,492,18,510,19,31,6,5,59,69
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,106,,,,,,,106,60,38,228,323,21,502,19,20,4,6,68,45
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,107,,,,,,,107,51,26,137,397,13,357,13,25,4,4,41,56
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,108,,,,,,,108,90,61,78,470,7,1149,44,29,5,2,23,66
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,109,,,,,,,109,67,30,410,353,39,586,22,22,4,12,124,50
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,110,,,,,,,110,60,37,197,423,18,388,15,26,5,5,59,59
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,111,,,,,,,111,82,46,108,492,10,837,32,31,6,3,32,69
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,112,,,,,,,112,89,35,68,587,6,898,34,37,7,2,20,82
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,113,,,,,,,113,89,29,257,310,24,730,28,19,3,7,77,43
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,114,,,,,,,114,52,34,124,505,11,418,16,32,6,3,37,71
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,115,,,,,,,115,52,30,129,457,12,502,19,29,5,3,39,64
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,116,,,,,,,116,86,37,153,306,14,670,25,19,3,4,46,43
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,117,,,,,,,117,64,31,78,319,7,708,27,20,4,2,23,45
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,118,,,,,,,118,74,32,337,384,32,494,19,24,4,10,101,54
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,119,,,,,,,119,92,39,194,574,18,1058,41,36,7,5,58,81
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,120,,,,,,,120,87,51,183,440,17,1241,48,27,5,5,55,62
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,121,,,,,,,121,108,50,217,453,20,1203,46,28,5,6,65,64
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,122,,,,,,,122,60,35,405,423,38,822,31,26,5,12,122,59
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,123,,,,,,,123,55,33,320,349,30,487,18,22,4,9,96,49
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,124,,,,,,,124,69,43,102,328,9,571,22,20,4,3,30,46
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,125,,,,,,,125,58,38,190,353,18,479,18,22,4,5,57,50
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,126,,,,,,,126,154,43,311,802,29,2071,80,50,10,9,94,113
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,127,,,,,,,127,50,38,199,405,19,403,15,25,5,6,60,57
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,128,,,,,,,128,115,33,355,625,34,1644,63,39,7,10,107,88
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,129,,,,,,,129,96,29,114,535,10,997,38,33,6,3,34,75
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,130,,,,,,,130,63,41,199,302,19,571,22,19,3,6,60,42
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,131,,,,,,,131,59,36,282,336,27,548,21,21,4,8,85,47
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,132,,,,,,,132,76,30,161,379,15,647,25,24,4,4,48,53
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,133,,,,,,,133,124,40,393,729,37,2565,99,46,9,11,118,103
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,134,,,,,,,134,73,30,134,371,12,502,19,23,4,4,40,52
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,135,,,,,,,135,49,36,195,349,18,517,20,22,4,5,59,49
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,136,,,,,,,136,55,33,306,284,29,487,18,18,3,9,92,40
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,137,,,,,,,137,71,40,241,530,23,852,33,33,6,7,73,75
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,138,,,,,,,138,74,29,69,362,6,449,17,23,4,2,21,51
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,139,,,,,,,139,65,31,202,444,19,601,23,28,5,6,61,62
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,140,,,,,,,140,88,31,91,349,8,494,19,22,4,2,27,49
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,141,,,,,,,141,66,37,161,353,15,426,16,22,4,4,48,50
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,142,,,,,,,142,63,37,291,284,27,357,13,18,3,8,88,40
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,143,,,,,,,143,55,28,137,453,13,418,16,28,5,4,41,64
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,144,,,,,,,144,80,37,110,638,10,1096,42,40,8,3,33,90
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,145,,,,,,,145,60,35,400,332,38,441,17,21,4,12,120,46
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,146,,,,,,,146,54,38,141,561,13,456,17,35,7,4,42,79
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,147,,,,,,,147,94,33,95,461,9,723,28,29,5,2,28,65
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,148,,,,,,,148,58,33,241,401,23,791,30,25,5,7,73,56
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,149,,,,,,,149,58,36,362,254,34,464,17,16,3,11,109,36
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,150,,,,,,,150,63,31,262,388,25,601,23,24,4,7,79,54
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,151,,,,,,,151,66,39,323,280,30,502,19,17,3,9,97,39
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,152,,,,,,,152,78,31,229,341,21,494,19,21,4,6,69,48
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,153,,,,,,,153,80,32,112,375,10,647,25,23,4,3,33,53
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,154,,,,,,,154,58,36,127,397,12,395,15,25,4,3,38,56
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,155,,,,,,,155,96,31,122,543,11,1477,57,34,6,3,37,76
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,156,,,,,,,156,94,32,91,565,8,1515,58,35,7,2,27,79
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,157,,,,,,,157,94,33,168,565,16,1393,53,35,7,5,50,79
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,158,,,,,,,158,64,31,333,401,31,487,18,25,5,10,100,56
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,159,,,,,,,159,89,31,76,565,7,989,38,35,7,2,23,79
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,160,,,,,,,160,90,31,64,470,6,928,35,29,5,1,19,66
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,161,,,,,,,161,62,32,316,353,30,692,26,22,4,9,95,50
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,162,,,,,,,162,52,32,401,414,38,708,27,26,5,12,121,58
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,163,,,,,,,163,57,33,410,353,39,555,21,22,4,12,124,50
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,164,,,,,,,164,68,54,229,423,21,799,30,26,5,6,69,59
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,165,,,,,,,165,80,37,221,371,21,1020,39,23,4,6,66,52
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,166,,,,,,,166,88,33,100,431,9,692,26,27,5,3,30,61
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,167,,,,,,,167,88,32,122,384,11,494,19,24,4,3,37,54
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,168,,,,,,,168,95,32,110,582,10,837,32,36,7,3,33,82
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,169,,,,,,,169,71,31,422,263,40,898,34,16,3,12,127,37
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,170,,,,,,,170,95,33,480,284,45,837,32,18,3,14,145,40
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,171,,,,,,,171,85,59,85,435,8,890,34,27,5,2,25,61
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,172,,,,,,,172,81,30,204,323,19,456,17,20,4,6,61,45
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,173,,,,,,,173,56,27,134,466,12,449,17,29,5,4,40,65
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,174,,,,,,,174,66,28,108,418,10,517,20,26,5,3,32,59
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,175,,,,,,,175,93,29,69,410,6,982,38,26,5,2,21,57
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,176,,,,,,,176,100,29,83,513,7,1393,53,32,6,2,25,72
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,177,,,,,,,177,82,32,120,423,11,593,23,26,5,3,36,59
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,178,,,,,,,178,90,31,71,375,6,555,21,23,4,2,21,53
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,179,,,,,,,179,58,28,95,349,9,433,16,22,4,2,28,49
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,180,,,,,,,180,105,32,165,552,15,1416,54,35,6,5,49,78
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,181,,,,,,,181,74,34,102,453,9,677,26,28,5,3,30,64
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,182,,,,,,,182,85,34,78,384,7,578,22,24,4,2,23,54
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,183,,,,,,,183,85,35,80,448,7,624,24,28,5,2,24,63
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,184,,,,,,,184,74,34,146,341,13,494,19,21,4,4,44,48
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,185,,,,,,,185,77,32,105,435,10,769,29,27,5,3,31,61
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,186,,,,,,,186,52,33,217,280,20,418,16,17,3,6,65,39
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,187,,,,,,,187,81,32,338,349,32,685,26,22,4,10,102,49
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,188,,,,,,,188,52,36,129,405,12,418,16,25,5,3,39,57
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,189,,,,,,,189,63,34,238,328,22,571,22,20,4,7,72,46
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,190,,,,,,,190,66,33,296,379,28,517,20,24,4,8,89,53
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,191,,,,,,,191,63,34,313,280,29,639,24,17,3,9,94,39
