Territory Code,BI,PD/LPD/PPI,COMP,COLL,LOAN,ME/WL/ACR,UM/UIM,RENT,TOW,ACPE,COMP-TRLR,COLL-TRLR
85,0.71,0.78,1.25,0.79,1.25,0.85,0.85,0.79,0.79,1.25,1.25,0.79
86,1.09,0.86,0.47,1.06,0.47,1.03,1.03,1.06,1.06,0.47,0.47,1.06
87,0.85,0.91,2.3,0.72,2.3,0.98,0.98,0.72,0.72,2.3,2.3,0.72
88,1.04,1.62,0.74,0.77,0.74,0.62,0.62,0.77,0.77,0.74,0.74,0.77
89,0.86,0.79,1.29,0.69,1.29,0.77,0.77,0.69,0.69,1.29,1.29,0.69
90,0.71,0.8,1.74,0.71,1.74,0.5,0.5,0.71,0.71,1.74,1.74,0.71
91,1.36,0.99,1.74,1.36,1.74,1.53,1.53,1.36,1.36,1.74,1.74,1.36
92,0.86,1.21,1.35,0.73,1.35,0.52,0.52,0.73,0.73,1.35,1.35,0.73
93,0.89,0.87,1.61,0.77,1.61,0.68,0.68,0.77,0.77,1.61,1.61,0.77
94,1.38,1.22,1.63,1.23,1.63,1.83,1.83,1.23,1.23,1.63,1.63,1.23
95,1.01,2.29,1.11,0.83,1.11,0.94,0.94,0.83,0.83,1.11,1.11,0.83
96,1.45,1.01,0.61,0.93,0.61,0.89,0.89,0.93,0.93,0.61,0.61,0.93
97,0.98,0.93,0.58,0.91,0.58,1.05,1.05,0.91,0.91,0.58,0.58,0.91
98,1.02,0.91,1.08,1.24,1.08,1.37,1.37,1.24,1.24,1.08,1.08,1.24
99,0.81,0.96,3.43,0.68,3.43,0.75,0.75,0.68,0.68,3.43,3.43,0.68
100,1.12,1.04,0.69,1.02,0.69,1.23,1.23,1.02,1.02,0.69,0.69,1.02
101,0.78,0.89,1.68,0.8,1.68,0.89,0.89,0.8,0.8,1.68,1.68,0.8
102,1.23,0.95,0.95,0.85,0.95,1.43,1.43,0.85,0.85,0.95,0.95,0.85
103,1.16,1.03,0.67,1.24,0.67,0.98,0.98,1.24,1.24,0.67,0.67,1.24
104,1.18,1.39,0.4,1.13,0.4,0.84,0.84,1.13,1.13,0.4,0.4,1.13
105,0.7,1.23,1.16,1.14,1.16,0.67,0.67,1.14,1.14,1.16,1.16,1.14
106,0.82,1.1,1.34,0.75,1.34,0.66,0.66,0.75,0.75,1.34,1.34,0.75
107,0.7,0.76,0.81,0.92,0.81,0.47,0.47,0.92,0.92,0.81,0.81,0.92
108,1.23,1.74,0.46,1.09,0.46,1.51,1.51,1.09,1.09,0.46,0.46,1.09
109,0.92,0.87,2.41,0.82,2.41,0.77,0.77,0.82,0.82,2.41,2.41,0.82
110,0.82,1.06,1.16,0.98,1.16,0.51,0.51,0.98,0.98,1.16,1.16,0.98
111,1.12,1.32,0.64,1.14,0.64,1.1,1.1,1.14,1.14,0.64,0.64,1.14
112,1.22,1.01,0.4,1.36,0.4,1.18,1.18,1.36,1.36,0.4,0.4,1.36
113,1.22,0.83,1.51,0.72,1.51,0.96,0.96,0.72,0.72,1.51,1.51,0.72
114,0.71,0.97,0.73,1.17,0.73,0.55,0.55,1.17,1.17,0.73,0.73,1.17
115,0.72,0.87,0.76,1.06,0.76,0.66,0.66,1.06,1.06,0.76,0.76,1.06
116,1.18,1.05,0.9,0.71,0.9,0.88,0.88,0.71,0.71,0.9,0.9,0.71
117,0.88,0.88,0.46,0.74,0.46,0.93,0.93,0.74,0.74,0.46,0.46,0.74
118,1.01,0.93,1.98,0.89,1.98,0.65,0.65,0.89,0.89,1.98,1.98,0.89
119,1.26,1.12,1.14,1.33,1.14,1.39,1.39,1.33,1.33,1.14,1.14,1.33
120,1.19,1.45,1.08,1.02,1.08,1.63,1.63,1.02,1.02,1.08,1.08,1.02
121,1.48,1.44,1.28,1.05,1.28,1.58,1.58,1.05,1.05,1.28,1.28,1.05
122,0.82,1.0,2.38,0.98,2.38,1.08,1.08,0.98,0.98,2.38,2.38,0.98
123,0.75,0.96,1.88,0.81,1.88,0.64,0.64,0.81,0.81,1.88,1.88,0.81
124,0.94,1.24,0.6,0.76,0.6,0.75,0.75,0.76,0.76,0.6,0.6,0.76
125,0.79,1.1,1.12,0.82,1.12,0.63,0.63,0.82,0.82,1.12,1.12,0.82
126,2.1,1.22,1.83,1.86,1.83,2.72,2.72,1.86,1.86,1.83,1.83,1.86
127,0.69,1.08,1.17,0.94,1.17,0.53,0.53,0.94,0.94,1.17,1.17,0.94
128,1.57,0.95,2.09,1.45,2.09,2.16,2.16,1.45,1.45,2.09,2.09,1.45
129,1.31,0.83,0.67,1.24,0.67,1.31,1.31,1.24,1.24,0.67,0.67,1.24
130,0.87,1.18,1.17,0.7,1.17,0.75,0.75,0.7,0.7,1.17,1.17,0.7
131,0.81,1.03,1.66,0.78,1.66,0.72,0.72,0.78,0.78,1.66,1.66,0.78
132,1.04,0.87,0.95,0.88,0.95,0.85,0.85,0.88,0.88,0.95,0.95,0.88
133,1.69,1.16,2.31,1.69,2.31,3.37,3.37,1.69,1.69,2.31,2.31,1.69
134,1.0,0.85,0.79,0.86,0.79,0.66,0.66,0.86,0.86,0.79,0.79,0.86
135,0.68,1.04,1.15,0.81,1.15,0.68,0.68,0.81,0.81,1.15,1.15,0.81
136,0.75,0.96,1.8,0.66,1.8,0.64,0.64,0.66,0.66,1.8,1.8,0.66
137,0.97,1.16,1.42,1.23,1.42,1.12,1.12,1.23,1.23,1.42,1.42,1.23
138,1.02,0.84,0.41,0.84,0.41,0.59,0.59,0.84,0.84,0.41,0.41,0.84
139,0.89,0.89,1.19,1.03,1.19,0.79,0.79,1.03,1.03,1.19,1.19,1.03
140,1.21,0.88,0.54,0.81,0.54,0.65,0.65,0.81,0.81,0.54,0.54,0.81
141,0.9,1.07,0.95,0.82,0.95,0.56,0.56,0.82,0.82,0.95,0.95,0.82
142,0.87,1.07,1.71,0.66,1.71,0.47,0.47,0.66,0.66,1.71,1.71,0.66
143,0.75,0.82,0.81,1.05,0.81,0.55,0.55,1.05,1.05,0.81,0.81,1.05
144,1.09,1.07,0.65,1.48,0.65,1.44,1.44,1.48,1.48,0.65,0.65,1.48
145,0.83,1.0,2.35,0.77,2.35,0.58,0.58,0.77,0.77,2.35,2.35,0.77
146,0.74,1.08,0.83,1.3,0.83,0.6,0.6,1.3,1.3,0.83,0.83,1.3
147,1.28,0.95,0.56,1.07,0.56,0.95,0.95,1.07,1.07,0.56,0.56,1.07
148,0.79,0.95,1.42,0.93,1.42,1.04,1.04,0.93,0.93,1.42,1.42,0.93
149,0.79,1.02,2.13,0.59,2.13,0.61,0.61,0.59,0.59,2.13,2.13,0.59
150,0.87,0.89,1.54,0.9,1.54,0.79,0.79,0.9,0.9,1.54,1.54,0.9
151,0.9,1.12,1.9,0.65,1.9,0.66,0.66,0.65,0.65,1.9,1.9,0.65
152,1.07,0.9,1.35,0.79,1.35,0.65,0.65,0.79,0.79,1.35,1.35,0.79
153,1.09,0.92,0.66,0.87,0.66,0.85,0.85,0.87,0.87,0.66,0.66,0.87
154,0.8,1.04,0.75,0.92,0.75,0.52,0.52,0.92,0.92,0.75,0.75,0.92
155,1.32,0.9,0.72,1.26,0.72,1.94,1.94,1.26,1.26,0.72,0.72,1.26
156,1.28,0.93,0.54,1.31,0.54,1.99,1.99,1.31,1.31,0.54,0.54,1.31
157,1.28,0.94,0.99,1.31,0.99,1.83,1.83,1.31,1.31,0.99,0.99,1.31
158,0.88,0.88,1.96,0.93,1.96,0.64,0.64,0.93,0.93,1.96,1.96,0.93
159,1.22,0.88,0.45,1.31,0.45,1.3,1.3,1.31,1.31,0.45,0.45,1.31
160,1.23,0.88,0.38,1.09,0.38,1.22,1.22,1.09,1.09,0.38,0.38,1.09
161,0.85,0.92,1.86,0.82,1.86,0.91,0.91,0.82,0.82,1.86,1.86,0.82
162,0.71,0.92,2.36,0.96,2.36,0.93,0.93,0.96,0.96,2.36,2.36,0.96
163,0.78,0.95,2.41,0.82,2.41,0.73,0.73,0.82,0.82,2.41,2.41,0.82
164,0.93,1.54,1.35,0.98,1.35,1.05,1.05,0.98,0.98,1.35,1.35,0.98
165,1.1,1.05,1.3,0.86,1.3,1.34,1.34,0.86,0.86,1.3,1.3,0.86
166,1.2,0.94,0.59,1.0,0.59,0.91,0.91,1.0,1.0,0.59,0.59,1.0
167,1.21,0.91,0.72,0.89,0.72,0.65,0.65,0.89,0.89,0.72,0.72,0.89
168,1.3,0.91,0.65,1.35,0.65,1.1,1.1,1.35,1.35,0.65,0.65,1.35
169,0.97,0.89,2.48,0.61,2.48,1.18,1.18,0.61,0.61,2.48,2.48,0.61
170,1.3,0.94,2.82,0.66,2.82,1.1,1.1,0.66,0.66,2.82,2.82,0.66
171,1.16,1.68,0.5,1.01,0.5,1.17,1.17,1.01,1.01,0.5,0.5,1.01
172,1.11,0.85,1.2,0.75,1.2,0.6,0.6,0.75,0.75,1.2,1.2,0.75
173,0.77,0.79,0.79,1.08,0.79,0.59,0.59,1.08,1.08,0.79,0.79,1.08
174,0.91,0.82,0.64,0.97,0.64,0.68,0.68,0.97,0.97,0.64,0.64,0.97
175,1.27,0.83,0.41,0.95,0.41,1.29,1.29,0.95,0.95,0.41,0.41,0.95
176,1.37,0.83,0.49,1.19,0.49,1.83,1.83,1.19,1.19,0.49,0.49,1.19
177,1.12,0.93,0.71,0.98,0.71,0.78,0.78,0.98,0.98,0.71,0.71,0.98
178,1.23,0.89,0.42,0.87,0.42,0.73,0.73,0.87,0.87,0.42,0.42,0.87
179,0.79,0.82,0.56,0.81,0.56,0.57,0.57,0.81,0.81,0.56,0.56,0.81
180,1.43,0.92,0.97,1.28,0.97,1.86,1.86,1.28,1.28,0.97,0.97,1.28
181,1.02,0.97,0.6,1.05,0.6,0.89,0.89,1.05,1.05,0.6,0.6,1.05
182,1.16,0.98,0.46,0.89,0.46,0.76,0.76,0.89,0.89,0.46,0.46,0.89
183,1.16,1.01,0.47,1.04,0.47,0.82,0.82,1.04,1.04,0.47,0.47,1.04
184,1.01,0.97,0.86,0.79,0.86,0.65,0.65,0.79,0.79,0.86,0.86,0.79
185,1.06,0.91,0.62,1.01,0.62,1.01,1.01,1.01,1.01,0.62,0.62,1.01
186,0.71,0.95,1.28,0.65,1.28,0.55,0.55,0.65,0.65,1.28,1.28,0.65
187,1.11,0.92,1.99,0.81,1.99,0.9,0.9,0.81,0.81,1.99,1.99,0.81
188,0.71,1.03,0.76,0.94,0.76,0.55,0.55,0.94,0.94,0.76,0.76,0.94
189,0.87,0.99,1.4,0.76,1.4,0.75,0.75,0.76,0.76,1.4,1.4,0.76
190,0.91,0.94,1.74,0.88,1.74,0.68,0.68,0.88,0.88,1.74,1.74,0.88
191,0.86,0.99,1.84,0.65,1.84,0.84,0.84,0.65,0.65,1.84,1.84,0.65
192,1.12,1.03,0.61,1.31,0.61,1.64,1.64,1.31,1.31,0.61,0.61,1.31
193,1.14,1.15,0.66,0.89,0.66,1.04,1.04,0.89,0.89,0.66,0.66,0.89
194,0.69,0.78,1.08,0.89,1.08,0.59,0.59,0.89,0.89,1.08,1.08,0.89
195,0.78,0.95,0.76,0.81,0.76,0.45,0.45,0.81,0.81,0.76,0.76,0.81
196,0.97,0.9,2.16,0.64,2.16,0.99,0.99,0.64,0.64,2.16,2.16,0.64
197,1.08,0.94,2.56,0.77,2.56,0.95,0.95,0.77,0.77,2.56,2.56,0.77
198,1.06,0.81,0.68,0.85,0.68,0.71,0.71,0.85,0.85,0.68,0.68,0.85
199,0.92,1.04,0.56,0.83,0.56,0.81,0.81,0.83,0.83,0.56,0.56,0.83
200,1.21,0.89,0.64,1.19,0.64,1.42,1.42,1.19,1.19,0.64,0.64,1.19
201,1.37,0.89,0.84,1.21,0.84,1.86,1.86,1.21,1.21,0.84,0.84,1.21
202,1.42,0.9,1.41,1.56,1.41,2.42,2.42,1.56,1.56,1.41,1.41,1.56
203,0.88,0.97,1.43,0.83,1.43,1.4,1.4,0.83,0.83,1.43,1.43,0.83
204,1.28,1.09,0.81,0.85,0.81,1.43,1.43,0.85,0.85,0.81,0.81,0.85
205,1.4,1.28,1.77,1.45,1.77,1.71,1.71,1.45,1.45,1.77,1.77,1.45
206,1.3,1.12,0.58,1.31,0.58,0.96,0.96,1.31,1.31,0.58,0.58,1.31
207,1.11,0.91,0.51,1.15,0.51,0.86,0.86,1.15,1.15,0.51,0.51,1.15
208,1.09,0.89,0.47,0.94,0.47,1.08,1.08,0.94,0.94,0.47,0.47,0.94
209,1.11,1.07,1.0,1.23,1.0,1.74,1.74,1.23,1.23,1.0,1.0,1.23
210,0.77,1.11,1.55,0.66,1.55,0.81,0.81,0.66,0.66,1.55,1.55,0.66
211,1.37,3.16,0.65,0.71,0.65,0.79,0.79,0.71,0.71,0.65,0.65,0.71
212,0.75,1.0,0.8,0.75,0.8,0.47,0.47,0.75,0.75,0.8,0.8,0.75
213,0.88,1.03,0.87,0.83,0.87,0.61,0.61,0.83,0.83,0.87,0.87,0.83
214,1.23,0.94,0.51,1.26,0.51,1.23,1.23,1.26,1.26,0.51,0.51,1.26
215,1.31,0.98,1.27,1.36,1.27,1.93,1.93,1.36,1.36,1.27,1.27,1.36
216,0.68,0.77,0.7,0.85,0.7,0.66,0.66,0.85,0.85,0.7,0.7,0.85
217,0.8,1.17,1.15,0.74,1.15,0.75,0.75,0.74,0.74,1.15,1.15,0.74
218,0.66,0.93,0.91,1.18,0.91,0.57,0.57,1.18,1.18,0.91,0.91,1.18
219,0.99,0.83,0.62,1.02,0.62,0.94,0.94,1.02,1.02,0.62,0.62,1.02
220,0.94,0.98,1.0,0.87,1.0,0.59,0.59,0.87,0.87,1.0,1.0,0.87
221,0.76,0.89,2.43,0.65,2.43,0.53,0.53,0.65,0.65,2.43,2.43,0.65
222,1.13,0.95,0.65,1.2,0.65,1.41,1.41,1.2,1.2,0.65,0.65,1.2
223,1.12,1.06,2.08,0.69,2.08,0.74,0.74,0.69,0.69,2.08,2.08,0.69
224,1.55,2.28,0.9,0.88,0.9,0.56,0.56,0.88,0.88,0.9,0.9,0.88
225,0.82,1.16,0.9,0.77,0.9,0.55,0.55,0.77,0.77,0.9,0.9,0.77
226,1.24,0.94,0.44,0.98,0.44,1.22,1.22,0.98,0.98,0.44,0.44,0.98
227,0.84,0.84,2.46,0.71,2.46,0.93,0.93,0.71,0.71,2.46,2.46,0.71
228,0.74,0.84,0.83,0.87,0.83,0.89,0.89,0.87,0.87,0.83,0.83,0.87
229,1.13,0.91,0.52,0.93,0.52,1.1,1.1,0.93,0.93,0.52,0.52,0.93
230,1.13,0.9,0.82,1.34,0.82,1.61,1.61,1.34,1.34,0.82,0.82,1.34
231,1.09,0.88,0.59,1.24,0.59,0.9,0.9,1.24,1.24,0.59,0.59,1.24
232,1.11,0.86,0.39,0.96,0.39,1.15,1.15,0.96,0.96,0.39,0.39,0.96
233,1.11,0.85,0.82,1.3,0.82,1.8,1.8,1.3,1.3,0.82,0.82,1.3
234,1.25,1.12,0.9,1.25,0.9,1.31,1.31,1.25,1.25,0.9,0.9,1.25
235,1.16,1.02,0.86,1.25,0.86,1.7,1.7,1.25,1.25,0.86,0.86,1.25
236,0.82,0.84,1.66,0.91,1.66,0.76,0.76,0.91,0.91,1.66,1.66,0.91
237,1.04,1.05,0.6,0.95,0.6,1.06,1.06,0.95,0.95,0.6,0.6,0.95
238,0.76,0.96,0.76,1.22,0.76,0.65,0.65,1.22,1.22,0.76,0.76,1.22
239,0.96,0.96,0.67,1.17,0.67,1.15,1.15,1.17,1.17,0.67,0.67,1.17
240,1.19,1.13,0.76,0.93,0.76,0.99,0.99,0.93,0.93,0.76,0.76,0.93
241,1.1,1.15,0.62,0.91,0.62,0.93,0.93,0.91,0.91,0.62,0.62,0.91
242,0.77,1.07,0.88,0.7,0.88,0.54,0.54,0.7,0.7,0.88,0.88,0.7
243,1.16,1.07,0.81,0.89,0.81,1.05,1.05,0.89,0.89,0.81,0.81,0.89
244,1.16,1.07,1.46,1.32,1.46,1.05,1.05,1.32,1.32,1.46,1.46,1.32
245,1.16,1.07,0.81,0.89,0.81,1.05,1.05,0.89,0.89,0.81,0.81,0.89
246,1.12,1.28,0.6,1.29,0.6,0.99,0.99,1.29,1.29,0.6,0.6,1.29
247,1.23,1.44,0.59,0.93,0.59,1.09,1.09,0.93,0.93,0.59,0.59,0.93
248,1.14,1.08,2.08,1.09,2.08,0.98,0.98,1.09,1.09,2.08,2.08,1.09
249,1.08,1.13,0.75,1.2,0.75,1.23,1.23,1.2,1.2,0.75,0.75,1.2
250,1.2,0.9,0.55,0.74,0.55,0.77,0.77,0.74,0.74,0.55,0.55,0.74
251,1.04,1.22,0.59,0.95,0.59,0.9,0.9,0.95,0.95,0.59,0.59,0.95
252,1.08,1.51,0.51,0.83,0.51,0.85,0.85,0.83,0.83,0.51,0.51,0.83
253,1.18,1.09,0.53,1.32,0.53,1.67,1.67,1.32,1.32,0.53,0.53,1.32
254,0.72,1.22,0.88,1.1,0.88,0.48,0.48,1.1,1.1,0.88,0.88,1.1
255,0.86,1.01,1.29,0.7,1.29,0.86,0.86,0.7,0.7,1.29,1.29,0.7
256,1.24,1.07,0.92,1.1,0.92,0.86,0.86,1.1,1.1,0.92,0.92,1.1
257,1.2,0.83,0.46,1.0,0.46,1.32,1.32,1.0,1.0,0.46,0.46,1.0
258,1.2,0.83,0.82,0.82,0.82,0.79,0.79,0.82,0.82,0.82,0.82,0.82
259,1.07,1.21,0.96,0.71,0.96,0.9,0.9,0.71,0.71,0.96,0.96,0.71
260,1.18,0.98,0.97,1.3,0.97,1.34,1.34,1.3,1.3,0.97,0.97,1.3
261,1.46,1.16,1.15,0.8,1.15,1.03,1.03,0.8,0.8,1.15,1.15,0.8
262,1.22,1.1,0.56,1.16,0.56,0.82,0.82,1.16,1.16,0.56,0.56,1.16
263,1.04,1.62,0.74,0.73,0.74,0.81,0.81,0.73,0.73,0.74,0.74,0.73
264,0.81,1.06,1.05,1.04,1.05,0.56,0.56,1.04,1.04,1.05,1.05,1.04
265,0.72,1.1,0.93,0.72,0.93,0.49,0.49,0.72,0.72,0.93,0.93,0.72
266,1.24,1.07,0.92,0.86,0.92,0.86,0.86,0.86,0.86,0.92,0.92,0.86
267,1.24,1.07,0.51,1.06,0.51,0.92,0.92,1.06,1.06,0.51,0.51,1.06
268,1.36,0.99,1.48,1.36,1.48,2.05,2.05,1.36,1.36,1.48,1.48,1.36
269,0.8,0.8,2.28,0.99,2.28,0.57,0.57,0.99,0.99,2.28,2.28,0.99
270,1.13,1.02,1.74,0.72,1.74,0.91,0.91,0.72,0.72,1.74,1.74,0.72
271,1.2,0.9,0.7,0.78,0.7,1.23,1.23,0.78,0.78,0.7,0.7,0.78
272,1.2,0.9,0.55,0.96,0.55,0.77,0.77,0.96,0.96,0.55,0.55,0.96
273,1.12,1.28,0.6,1.05,0.6,1.14,1.14,1.05,1.05,0.6,0.6,1.05
274,0.74,1.07,1.83,0.71,1.83,0.5,0.5,0.71,0.71,1.83,1.83,0.71
275,0.97,1.72,0.69,0.79,0.69,0.59,0.59,0.79,0.79,0.69,0.69,0.79
276,1.13,1.02,0.97,0.72,0.97,0.91,0.91,0.72,0.72,0.97,0.97,0.72
