Census Tract,BI,PD,MLPD,PPI,PIP_MED,PIP_WL,COMP,COLL,CR,UM,UIM
26021000800,0.6592,0.6592,0.6592,0.6914,0.5447,0.4836,0.4140,0.5319,0.3220,0.7788,0.7788
26021000900,0.6592,0.6592,0.6592,0.6914,0.5447,0.4836,0.4140,0.5319,0.3220,0.7788,0.7788
26021001000,0.6592,0.6592,0.6592,0.6914,0.5447,0.4836,0.4140,0.5319,0.3220,0.7788,0.7788
26021001100,0.6698,0.6698,0.6698,0.6927,0.5495,0.4869,0.4205,0.5359,0.3226,0.7803,0.7803
26021001300,0.6592,0.6592,0.6592,0.6914,0.5447,0.4836,0.4140,0.5319,0.3220,0.7788,0.7788
26021001400,0.6592,0.6592,0.6592,0.6914,0.5447,0.4836,0.4140,0.5319,0.3220,0.7788,0.7788
26021001500,0.6592,0.6592,0.6592,0.6914,0.5447,0.4836,0.4140,0.5319,0.3220,0.7788,0.7788
26021001600,0.6634,0.6634,0.6634,0.6967,0.5551,0.4957,0.4335,0.5430,0.3259,0.7774,0.7774
26021001700,0.6592,0.6592,0.6592,0.6914,0.5447,0.4836,0.4140,0.5319,0.3220,0.7788,0.7788
26021001800,0.6882,0.6882,0.6882,0.6957,0.5604,0.4975,0.4318,0.5494,0.3236,0.7826,0.7826
26021001900,0.9765,0.9765,0.9765,0.7515,0.8465,0.7515,0.6513,0.7165,0.3500,0.8465,0.8465
26021002000,0.9765,0.9765,0.9765,0.7515,0.8465,0.7515,0.6513,0.7165,0.3500,0.8465,0.8465
26021002100,0.9859,0.9859,0.9859,0.7064,0.8752,0.8752,0.7587,0.8546,0.3290,0.7957,0.7957
26021002400,0.9859,0.9859,0.9859,0.7064,0.8752,0.8752,0.7587,0.8546,0.3290,0.7957,0.7957
26021002500,0.9859,0.9859,0.9859,0.7064,0.8752,0.8752,0.7587,0.8546,0.3290,0.7957,0.7957
26021010100,0.8705,0.8705,0.8705,0.7492,0.7535,0.6690,0.5931,0.6907,0.3489,0.8439,0.8439
26021010200,0.8789,0.8789,0.8789,0.7515,0.7619,0.6764,0.6003,0.6971,0.3500,0.8465,0.8465
26021010300,0.8401,0.8401,0.8401,0.7409,0.7236,0.6424,0.5674,0.6679,0.3451,0.8346,0.8346
26021010400,0.8846,0.8846,0.8846,0.7475,0.7687,0.6909,0.6106,0.7042,0.3477,0.8409,0.8409
26021010500,0.9200,0.9200,0.9200,0.7080,0.8168,0.8168,0.6914,0.7360,0.3220,0.7788,0.7788
26021010600,0.9024,0.9024,0.9024,0.7067,0.7994,0.8104,0.6901,0.7307,0.3261,0.7773,0.7773
26021011000,1.1814,1.1814,1.1814,0.7696,0.8266,0.7338,0.7338,0.8465,0.3500,0.8465,0.8465
26021011100,1.1814,1.1814,1.1814,0.7696,0.8266,0.7338,0.7338,0.8465,0.3500,0.8465,0.8465
26021011200,1.1814,1.1814,1.1814,0.7696,0.8266,0.7338,0.7338,0.8465,0.3500,0.8465,0.8465
26021011300,1.1814,1.1814,1.1814,0.7696,0.8266,0.7338,0.7338,0.8465,0.3500,0.8465,0.8465
26021011400,1.1814,1.1814,1.1814,0.7696,0.8266,0.7338,0.7338,0.8465,0.3500,0.8465,0.8465
26021011500,0.9200,0.9200,0.9200,0.7080,0.8168,0.8168,0.6914,0.7360,0.3220,0.7788,0.7788
26021011600,0.9784,0.9784,0.9784,0.7189,0.8050,0.7716,0.6977,0.7311,0.3290,0.7957,0.7957
26021020100,0.9200,0.9200,0.9200,0.7080,0.8168,0.8168,0.6914,0.7360,0.3220,0.7788,0.7788
26021020200,0.9200,0.9200,0.9200,0.7080,0.8168,0.8168,0.6914,0.7360,0.3220,0.7788,0.7788
26021020300,1.0975,1.0975,1.0975,0.7421,0.7862,0.6894,0.7117,0.7322,0.3430,0.8296,0.8296
26021020400,1.1536,1.1536,1.1536,0.7515,0.7696,0.6360,0.7165,0.7165,0.3500,0.8465,0.8465
26021020500,1.1276,1.1276,1.1276,0.7483,0.7578,0.6280,0.7006,0.7068,0.3485,0.8429,0.8429
26021020600,1.1536,1.1536,1.1536,0.7515,0.7696,0.6360,0.7165,0.7165,0.3500,0.8465,0.8465
26021020700,1.1536,1.1536,1.1536,0.7515,0.7696,0.6360,0.7165,0.7165,0.3500,0.8465,0.8465
26021020900,1.1536,1.1536,1.1536,0.7515,0.7696,0.6360,0.7165,0.7165,0.3500,0.8465,0.8465
26021021000,1.1536,1.1536,1.1536,0.7515,0.7696,0.6360,0.7165,0.7165,0.3500,0.8465,0.8465
26021021100,1.1536,1.1536,1.1536,0.7515,0.7696,0.6360,0.7165,0.7165,0.3500,0.8465,0.8465
26021021200,1.1536,1.1536,1.1536,0.7515,0.7696,0.6360,0.7165,0.7165,0.3500,0.8465,0.8465
26021021300,1.1814,1.1814,1.1814,0.7696,0.8266,0.7338,0.7338,0.8465,0.3500,0.8465,0.8465
26021021400,0.8332,0.8332,0.8332,0.7150,0.6532,0.5901,0.5337,0.6420,0.3298,0.7976,0.7976
26023950100,0.9682,0.9682,0.9682,0.7486,0.8226,0.7859,0.9105,0.7135,0.3515,0.8424,0.8424
26023950200,0.9765,0.9765,0.9765,0.7515,0.8266,0.7881,0.9092,0.7139,0.3500,0.8465,0.8465
26023950300,0.9765,0.9765,0.9765,0.7515,0.8266,0.7881,0.9092,0.7139,0.3500,0.8465,0.8465
26023950800,0.9765,0.9765,0.9765,0.7515,0.8266,0.7881,0.9092,0.7139,0.3500,0.8465,0.8465
26023950900,0.9765,0.9765,0.9765,0.7515,0.8266,0.7881,0.9092,0.7139,0.3500,0.8465,0.8465
26023951000,0.9765,0.9765,0.9765,0.7515,0.8266,0.7881,0.9092,0.7139,0.3500,0.8465,0.8465
26023951100,0.9765,0.9765,0.9765,0.7515,0.8266,0.7881,0.9092,0.7139,0.3500,0.8465,0.8465
26023951200,0.9765,0.9765,0.9765,0.7515,0.8266,0.7881,0.9092,0.7139,0.3500,0.8465,0.8465
26023951300,0.9765,0.9765,0.9765,0.7515,0.8266,0.7881,0.9092,0.7139,0.3500,0.8465,0.8465
26023951400,0.9765,0.9765,0.9765,0.7515,0.8266,0.7881,0.9092,0.7139,0.3500,0.8465,0.8465
26023951500,0.9765,0.9765,0.9765,0.7515,0.8266,0.7881,0.9092,0.7139,0.3500,0.8465,0.8465
26023951600,0.9765,0.9765,0.9765,0.7515,0.8266,0.7881,0.9092,0.7139,0.3500,0.8465,0.8465
26025000200,0.6839,0.6839,0.6839,0.6839,0.7345,0.6839,0.6366,0.6839,0.3640,0.7172,0.7172
26025000300,0.6839,0.6839,0.6839,0.6839,0.7345,0.6839,0.6366,0.6839,0.3640,0.7172,0.7172
26025000500,0.6839,0.6839,0.6839,0.6839,0.7345,0.6839,0.6366,0.6839,0.3640,0.7172,0.7172
26025000600,0.7891,0.7891,0.7891,0.7891,0.8475,0.7891,0.7346,0.7891,0.4200,0.8275,0.8275
26025000700,0.6839,0.6839,0.6839,0.6839,0.7345,0.6839,0.6366,0.6839,0.3640,0.7172,0.7172
26025000800,0.6839,0.6839,0.6839,0.6839,0.7345,0.6839,0.6366,0.6839,0.3640,0.7172,0.7172
26025000900,0.6839,0.6839,0.6839,0.6839,0.7345,0.6839,0.6366,0.6839,0.3640,0.7172,0.7172
26025001000,0.6839,0.6839,0.6839,0.6839,0.7345,0.6839,0.6366,0.6839,0.3640,0.7172,0.7172
26025001100,0.6839,0.6839,0.6839,0.6839,0.7345,0.6839,0.6366,0.6839,0.3640,0.7172,0.7172
26025001200,0.6839,0.6839,0.6839,0.6839,0.7345,0.6839,0.6366,0.6839,0.3640,0.7172,0.7172
26025001300,0.6878,0.6878,0.6878,0.6874,0.7370,0.6882,0.6381,0.6882,0.3647,0.7186,0.7186
26025001400,0.6839,0.6839,0.6839,0.6839,0.7345,0.6839,0.6366,0.6839,0.3640,0.7172,0.7172
26025001500,0.6850,0.6850,0.6850,0.6859,0.7321,0.6823,0.6376,0.6839,0.3648,0.7187,0.7187
26025001600,0.6839,0.6839,0.6839,0.6839,0.7345,0.6839,0.6366,0.6839,0.3640,0.7172,0.7172
26025001700,0.6844,0.6844,0.6844,0.6850,0.7333,0.6829,0.6366,0.6841,0.3644,0.7179,0.7179
26025001800,0.6839,0.6839,0.6839,0.6839,0.7345,0.6839,0.6366,0.6839,0.3640,0.7172,0.7172
26025001900,0.7830,0.7830,0.7830,0.7828,0.8398,0.7834,0.7274,0.7834,0.4158,0.8192,0.8192
26025002000,0.6897,0.6897,0.6897,0.6877,0.7351,0.6857,0.6505,0.6833,0.3660,0.7211,0.7211
26025002100,0.6839,0.6839,0.6839,0.6839,0.7345,0.6839,0.6366,0.6839,0.3640,0.7172,0.7172
26025002200,0.6839,0.6839,0.6839,0.6839,0.7345,0.6839,0.6366,0.6839,0.3640,0.7172,0.7172
26025002300,0.6839,0.6839,0.6839,0.6839,0.7345,0.6839,0.6366,0.6839,0.3640,0.7172,0.7172
26025002400,0.6839,0.6839,0.6839,0.6839,0.7345,0.6839,0.6366,0.6839,0.3640,0.7172,0.7172
26025002500,0.6852,0.6852,0.6852,0.6848,0.7348,0.6854,0.6402,0.6844,0.3635,0.7169,0.7169
26025002600,0.6839,0.6839,0.6839,0.6839,0.7345,0.6839,0.6366,0.6839,0.3640,0.7172,0.7172
26025002700,0.8091,0.8091,0.8091,0.7661,0.7443,0.7202,0.9333,0.6712,0.4074,0.8028,0.8028
26025002800,0.7952,0.7952,0.7952,0.7544,0.7010,0.6869,0.9371,0.6410,0.4000,0.7881,0.7881
26025002900,0.8116,0.8116,0.8116,0.7557,0.7205,0.7035,0.9819,0.6395,0.4022,0.7925,0.7925
26025003000,0.8071,0.8071,0.8071,0.7515,0.7165,0.6996,0.9765,0.6360,0.4000,0.7881,0.7881
26025003100,0.8071,0.8071,0.8071,0.7515,0.7165,0.6996,0.9765,0.6360,0.4000,0.7881,0.7881
26025003200,0.8071,0.8071,0.8071,0.7515,0.7165,0.6996,0.9765,0.6360,0.4000,0.7881,0.7881
26025003300,0.8071,0.8071,0.8071,0.7515,0.7165,0.6996,0.9765,0.6360,0.4000,0.7881,0.7881
26025003400,0.7953,0.7953,0.7953,0.7752,0.7165,0.7460,0.8999,0.6840,0.4158,0.7765,0.7765
26025003500,0.8071,0.8071,0.8071,0.7515,0.7165,0.6996,0.9765,0.6360,0.4000,0.7881,0.7881
26025003600,0.8016,0.8016,0.8016,0.7528,0.7139,0.6984,0.9457,0.6483,0.3936,0.7752,0.7752
26025003700,0.8398,0.8398,0.8398,0.7832,0.7489,0.7304,1.0108,0.6657,0.4169,0.8213,0.8213
26025003800,0.8087,0.8087,0.8087,0.7530,0.7179,0.7010,0.9784,0.6372,0.4008,0.7896,0.7896
26025003900,0.7722,0.7722,0.7722,0.7196,0.6856,0.6671,0.9234,0.6109,0.3830,0.7547,0.7547
26025004000,0.7808,0.7808,0.7808,0.7271,0.6932,0.6769,0.9448,0.6153,0.3870,0.7625,0.7625
26025004100,0.6839,0.6839,0.6839,0.6839,0.7345,0.6839,0.6366,0.6839,0.3640,0.7172,0.7172
26027001000,1.1536,1.1536,1.1536,0.7515,0.7696,0.6360,0.7165,0.7165,0.3500,0.8465,0.8465
26027001100,1.1536,1.1536,1.1536,0.7515,0.7696,0.6360,0.7165,0.7165,0.3500,0.8465,0.8465
26027001200,1.1536,1.1536,1.1536,0.7515,0.7696,0.6360,0.7165,0.7165,0.3500,0.8465,0.8465
26027001500,1.1536,1.1536,1.1536,0.7515,0.7696,0.6360,0.7165,0.7165,0.3500,0.8465,0.8465
26027001600,1.1011,1.1011,1.1011,0.7538,0.7510,0.6341,0.7187,0.7103,0.3563,0.8392,0.8392
26027001700,1.1213,1.1213,1.1213,0.7543,0.7582,0.6326,0.7103,0.7152,0.3538,0.8420,0.8420
26027001800,1.1536,1.1536,1.1536,0.7515,0.7696,0.6360,0.7165,0.7165,0.3500,0.8465,0.8465
26027001900,1.1536,1.1536,1.1536,0.7515,0.7696,0.6360,0.7165,0.7165,0.3500,0.8465,0.8465
26027002000,1.1098,1.1098,1.1098,0.7433,0.7785,0.6699,0.7118,0.7202,0.3448,0.8338,0.8338
26027002100,1.1536,1.1536,1.1536,0.7515,0.7696,0.6360,0.7165,0.7165,0.3500,0.8465,0.8465
26027002200,1.1536,1.1536,1.1536,0.7515,0.7696,0.6360,0.7165,0.7165,0.3500,0.8465,0.8465
26029000100,0.7338,0.7338,0.7338,0.7515,0.6831,0.6670,0.6831,0.6670,0.3000,0.6513,0.6513
26029000200,0.7338,0.7338,0.7338,0.7515,0.6831,0.6670,0.6831,0.6670,0.3000,0.6513,0.6513
26029000300,0.7342,0.7342,0.7342,0.7524,0.6835,0.6674,0.6826,0.6696,0.3021,0.6539,0.6539
26029000400,0.7338,0.7338,0.7338,0.7515,0.6831,0.6670,0.6831,0.6670,0.3000,0.6513,0.6513
26029000500,0.7189,0.7189,0.7189,0.7447,0.6667,0.6557,0.6663,0.6879,0.3236,0.6814,0.6814
26029000800,0.7338,0.7338,0.7338,0.7515,0.6831,0.6670,0.6831,0.6670,0.3000,0.6513,0.6513
26029000900,0.7378,0.7378,0.7378,0.7732,0.6814,0.6725,0.6822,0.6746,0.3081,0.6701,0.6701
26029001000,0.7338,0.7338,0.7338,0.7515,0.6831,0.6670,0.6831,0.6670,0.3000,0.6513,0.6513
26029001100,0.7338,0.7338,0.7338,0.7515,0.6831,0.6670,0.6831,0.6670,0.3000,0.6513,0.6513
26029001200,0.7338,0.7338,0.7338,0.7515,0.6831,0.6670,0.6831,0.6670,0.3000,0.6513,0.6513
26029001300,0.7338,0.7338,0.7338,0.7515,0.6831,0.6670,0.6831,0.6670,0.3000,0.6513,0.6513
26029001400,0.7374,0.7374,0.7374,0.7710,0.7041,0.6763,0.6811,0.6779,0.3118,0.6758,0.6758
26029001500,0.7338,0.7338,0.7338,0.7515,0.6831,0.6670,0.6831,0.6670,0.3000,0.6513,0.6513
26031960100,0.7515,0.7515,0.7515,0.7515,0.7881,0.6670,0.8465,0.6360,0.3000,0.6513,0.6513
26031960200,0.7515,0.7515,0.7515,0.7515,0.7881,0.6670,0.8465,0.6360,0.3000,0.6513,0.6513
26031960300,0.7594,0.7594,0.7594,0.7594,0.7881,0.6843,0.8494,0.6661,0.3071,0.6656,0.6656
26031960400,0.7573,0.7573,0.7573,0.7627,0.7949,0.6755,0.8478,0.6462,0.3048,0.6625,0.6625
26031960500,0.7515,0.7515,0.7515,0.7515,0.7881,0.6670,0.8465,0.6360,0.3000,0.6513,0.6513
26031960600,0.7515,0.7515,0.7515,0.7515,0.7881,0.6670,0.8465,0.6360,0.3000,0.6513,0.6513
26031960700,0.7464,0.7464,0.7464,0.7464,0.7827,0.6625,0.8407,0.6317,0.2980,0.6469,0.6469
26031960800,0.7587,0.7587,0.7587,0.7526,0.7984,0.6808,0.8561,0.6409,0.3031,0.6576,0.6576
26033970100,0.5336,0.5336,0.5336,0.6012,0.5210,0.4968,0.6613,0.4968,0.2400,0.5210,0.5210
26033970200,0.5336,0.5336,0.5336,0.6012,0.5210,0.4968,0.6613,0.4968,0.2400,0.5210,0.5210
26033970300,0.5580,0.5580,0.5580,0.6344,0.5465,0.5294,0.6629,0.5276,0.2575,0.5609,0.5609
26033970400,0.5419,0.5419,0.5419,0.6106,0.5320,0.5097,0.6602,0.5158,0.2488,0.5306,0.5306
26033970500,0.5336,0.5336,0.5336,0.6012,0.5210,0.4968,0.6613,0.4968,0.2400,0.5210,0.5210
26033970600,0.5336,0.5336,0.5336,0.6012,0.5210,0.4968,0.6613,0.4968,0.2400,0.5210,0.5210
26033970700,0.5344,0.5344,0.5344,0.6077,0.5231,0.4988,0.6564,0.5077,0.2446,0.5259,0.5259
